name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Reorganized Church Of Jesus Christ Of Latter Day Saints-Blackhawk	http://		EIN 42-1366728	26 Samuel Clemens Rd	Muscatine	IA	52761	USA							
National Association Of Health Unit Coordinators	http://		EIN 42-1421940	2243 W 4th St	Davenport	IA	52802	USA							
Ames Minor Hockey Association	http://www.ameshockey.com	(515) 203-6244	EIN 42-1095060	Po Box 1492	Ames	IA	50014	USA	Sports	To provide for and promote development of youth hockey in the greater ames community.	Provide facilities, materials and supervision for the development of youth hockey in the greater ames community. 128 members participated in hockey this fiscal year.				
Mawuvios Outreach Programme	http://www.mawuviosoutreachprogramme.org/		EIN 98-0688946		Goose Lake	IA	52750	USA	Education, Elementary & Secondary Schools, Literacy	Provide free education, shelter and care for disadvantaged children across the globe regardless of sex, age, race or tribal origin.					
Iowa Youth Chorus Inc	http://www.iowayouthchorus.org	(515) 262-8312	EIN 42-1166088	3520 Grand Ave	Des Moines	IA	50312	USA	Arts & Culture, Singing & Choral Groups	Music education	Provided music education and performance opportunities to children in central iowa. Produced concerts presented in choral ensembles in iowa. Appoximately 300 members.				
Friends Of Ames Swimming	http://		EIN 42-1191864	2804 Northwood Dr	Ames	IA	50010	USA							
Pta-Sunnyside School	http://		EIN 42-6120600	2700 S Maple St	Sioux City	IA	51106	USA							
Christian Church Of North English	http://		EIN 42-0888204	Po Box 52	North English	IA	52316	USA							
Comprehensive Systems Inc Foundation	http://	(641) 228-4842	EIN 42-1192356	1700 Clark St	Charles City	IA	50616	USA	Philanthropy, Private Independent Foundations	The purpose of the organization is to raise funds for its exempt affiliate, comprehensive systems, inc.	The organization's purpose is to raise funds for its exempt affiliate, comprehensive systems, inc. This grant allows comprehensive systems, inc. To provide residential, work activity, and habilitative services to individuals with special needs.   rents building to comprehensive systems, inc. To further its exempt purpose.				
Collegiate Presbyterian Church	http://		EIN 42-0698280	159 Sheldon Ave	Ames	IA	50014	USA							
Whs Booster Club Inc	http://	(319) 668-1560	EIN 39-1893684	Po Box 211	Williamsburg	IA	52361	USA	Education	The function of the whs booster club is to support the students of the williamsburg community school district.	Support of school through direct contributions of sports equipment, uniforms and improvements to facilities				
Bishop Drumm Foundation	http://		EIN 42-1221744	1111 6TH Ave	Des Moines	IA	50314	USA	Human Services						
Animal Rescue League of Iowa, Inc.	http://www.arl-iowa.org		EIN 42-0680427	5452 NE 22nd St	Des Moines	IA	50313	USA	Animal Protection & Welfare, Animals, Veterinary Services	The Animal Rescue League of Iowa''s mission is to promote animal welfare, to encourage and strengthen the human/animal bond and to prevent the overpopulation of animals. The ARL''s mission is accomplished through its numerous programs including pet adoption, on-site spaying and neutering, humane education and pet behavior training and counseling. The ARL is the Des Moines area''s only shelter that never turns away an animal in need.	The ARL depends on private funds to provide services such as humane education; animal assisted therapy; pet behavior counseling and training; animal rescue and adoption; animal abuse intervention and prevention; and resident pets. These programs, together with the ARL's on-site spaying and neutering program, work to reduce the number of homeless pets in Iowa. The ARL also works to pass laws that improve the lives of all animals, including livestock and wildlife. The ARL receives no state, federal or United Way funding to fund its programs.				
Visiting Nurse Association Of Pottawattamie County Iowa	http://www.thevnacares.org	(712) 328-2636	EIN 42-0681048	822 S Main St Ste 102	Council Blfs	IA	51503	USA		The mission of the visiting nurse association of pottawattamie county is to foster the dignity and well-being of the residents of our communities by delivering the highest quality home and community-based health care services that provide peace of mind, quality of life and independence.	Home care includes both skilled services (nursing, social work) and non-skilled (home health aide and homemaker) provided to the poor frail elderly and disabled who are not eligible for covered services (medicare, etc) but need assistance with daily activities in order to regain health and/or stay safe and well in their homes.   public health services include flu and senior clinics, bio preparedness activities and other public health services and activities.   family support includes multidisciplinary (public health nursing, social work, family support) and home visitation services to vulnerable and at-risk families (focused on pregnant teens, women with infants and young children). Care may be provided in homes, homeless shelters, or wherever the family resides.				
National Society Of The Daughters Of The American Revolution	http://www.dar.org		EIN 42-6075420	207 Oak Hill Dr	Hampton	IA	50441	USA	Arts & Culture, Education, Historical Organizations, History Museums, Libraries	The objectives of the National Society Daughters of the American Revolution are historic preservation, promotion of education and patriotic endeavor.					
Muscatine Quarterback Club Inc	http://		EIN 42-1212144	Po Box 346	Muscatine	IA	52761	USA							
4-H Club Holy Cross Master Farmers	http://		EIN 42-1214112	Local	Holy Cross	IA	52053	USA							
Restoring Hope International	http://www.restoringhopeint.org/	5159636794	EIN 26-3925275	PO Box 372	Ankeny	IA	50021	USA	International, International Relief	Restoring Hope International is a Christian non-profit organization whose aim is to meet the physical and spiritual needs of poverty stricken children around the world.  Founded in 2008, RHI has established Restoring Hope Village in Welkom South Africa.  RHI is unique in that its mission is not simply humanitarian in the feeding, clothing and educating of children.  The vision driving RHI is focused on the principle that Jesus Christ transforms lives.  Children who previously had very little hope are introduced to the giver of eternal hope.  Meeting physical, spiritual and emotional needs starts with an eternal relationship with Jesus, and flows from there to impact every aspect of a child's life.  RHI would love to share these stories of transformation with you.   RHI is committed to sound fiscal management.   Through the faithful service of volunteers and committed board members RHI keeps its home office expenses very low.  During each year of operation over 95%  of funds received by Restoring Hope International are used directly for ministry expenses. Partnering with RHI ensures that your contributions are used effectively where they are needed most.	Funds are used to provide food, clothing, housing, education and love in and around Welkom, South Africa, through Restoring Hope Village.	Welkom, South Africa		Children who have been orphaned due to death of parents and extended family members	32 children, 6 local adults by providing employment, local businesses through utilizing their services for building and maintanence
Someday Foundation	http://www.somedayfoundation.com	(563) 875-2442	EIN 26-0350804	950 11th St Ne	Dyersville	IA	52040	USA	Health	Helping others in their time of need.	The someday foundation was created by two high school friends who experienced firsthand the loss of family members to cancer. Realizing that while individuals are facing many challenges from a recent diagnosis, life still goes on. Doctor appointments take place, therapy & treatments are on-going, all taking time and resources. Along with that, bills still need to be paid, house payments need to be made, and the list goes on. In short life keeps rolling along. The someday foundation strives to assist with the "everyday" things and relieve some of the pressures that come with that. Many times our recipients find themselves unable to work, or are reduced to limited work schedules. That has a huge impact on their financial situation. Many find, like we did, that there are not a lot of resources to help, and if available, there is a lot of red tape or stipulations that come along with receiving help. The someday foundation cuts out the red tape by having a simple application completed and approved by our board of directors. The someday foundation has made a difference in the lives of many. Our annual fund raising events in dyersville, iowa & madison, wisconsin have enabled us to generate money to help those that are facing a catastrophic life changing event. Since 2001 the someday foundation has raised over $245,000 and has been able to assist over 350 families and individuals in their time of need. The pink ribbon open is an annual golf fundraiser raising money for local nonprofit groups that help women coping with cancer.				
