name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
ALOHA DREAM CENTER	http://www.AlohaDreamCenter.com	808-927-1741	EIN 47-2698422	47-232c Hui Akikiki Pl	Kaneohe	HI	96744	USA	Human Service Organizations	Aloha Dream Center's mission is to restore hope and improve the overall quality of life throughout the Hawaiian Islands by strengthening and reviving the spiritual, physical and financial well being of struggling families and preserving the the land in Hawaii.		families and individuals struggling or in crisis	over 2,000 individuals	Hawaii, Oahu, Windward	food, clothing, furniture, household goods, prayer, connection to other resources.  We do annual events such as baby shower for moms in crisis, prom conference for teens, back to school backpack give away etc.	
Fathers Of The Sacred Hearts	http://		EIN 99-6003323	Po Box 1365	Kaneohe	HI	96744	USA								
West Kauai United Methodist Church	http://		EIN 99-0324791	Po Box 298	Kekaha	HI	96752	USA								
Keiki Kokua, Inc.	http://www.KeikiKokua.com	(808) 573-4972	EIN 20-2543160	PO Box 880787 148 Ehilani St	Pukalani	HI	96788	USA	Education	There is a tremendous need for emotional and social support for children in "out of home of origin" placements, as well as for the families who raise and nurture them. Keiki Kokua's Mission is to provide assistance to these families in practical and innovative ways.					The organization served 157 families and youth during the fiscal year. Two events were held during the year a teen christmas party and a pizza party. These events provided opportunities for foster and adoptive families to interact with each other, and share ideas. The organization also provided referrals, a guide to community resources, other free services to foster families, and sent out informational newsletters to foster families. Backpacks and suitcases were gathered and provided to foster families as well.	
Organization Of Chinese-Americans Inc	http://		EIN 99-0285851	975 Kapiolani Blvd	Honolulu	HI	96814	USA	Civil Rights, Civil Rights, Social Action & Advocacy, Minority Rights							
Keaukaha One Youth Development	http://		EIN 20-5386779	67 Keokea Loop	Hilo	HI	96720	USA	Children & Youth, Youth Development Programs							
Kahului Union Church	http://		EIN 99-0078504	101 W Kamehameha Ave	Kahului	HI	96732	USA								
Grace Bible Church Leeward	http://		EIN 99-0175919	Po Box 1616	Pearl City	HI	96782	USA								
Hawaii Chamber Of Commerce Foundation	http://		EIN 99-0266760	1132 Bishop Street Suite 2015	Honolulu	HI	96813	USA								
Kohanaiki Ohana	http://		EIN 99-0316054	Po Box 4573	Kailua Kona	HI	96745	USA	Arts & Culture, Performing Arts							
University Clinical Education & Research Associates	http://www.ucera.org	(808) 469-4959	EIN 99-0307152	677 Ala Moana Blvd Ste 1001	Honolulu	HI	96813	USA	Health, Health Care	Ucera is a non-profit organization established to further the missionsand visions of the john a. Burns school of medicine (jabsom) and other health sciences schools of the university of hawaii (uh). It contributes to thier goal of improving the health care status of the citizens of hawaii and the pacific by supporting the education, research and clinical activities of the schools. It supports financial diversification of the school by developing revenue generating initiatives in collaboration with hospitals, government agencies and other entities.					Clinical and professional services - 1) provide health care to the general public, with special attention to the poor and other underserved populations of hawaii and the pacific region. 2) specialty clinics - multi-specialty faculty practice at clinics located at various sites including: 677 ala moana blvd, honolulu, hi 96813; 1319 punahou street, suite 800, 801, 900; 94-235 hanawai circle, waipahu, hi 96797; queen's outpatient center; physician's office buildings at queen's; leahi hospital; molokai general hospital; physicians center at mililani and surgical consultants of hawaii located at kuakini hospital. Provide physicians on the university of hawaii faculty with a base of ob/gyn, endocrine, internal medicine, geriatric, surgical, and psychiatric patients from which they can educate medical students and residents. 3) queen's hospital and hawaii pacific health/kapiolani hospital/wahiawa general contracts - provide faculty members to treat patients and to provide specialty clinical services to hospitals. 4) veteran's administration specialty clinics - provide specialist physicians to treat patients at the va medical & regional outpatient clinic. This population tends to be indigent and underserved. The va clinic is also a teaching site for the university of hawaii john a. Burns school of medicine and provides a base of teaching patients.   medical school and faculty support - in general, provides funding tobuild and sustain the infrastructure of the john a. Burns school of medicine and its departments and those of the other health sciences schools of the university of hawaii. Provide additional resources to recruit, retain, and develop qualified faculty at jabsom and the other uh health sciences schools.   educational support - 1) in general, provide education and clinicaltraining for the university of hawaii health sciences schools' students. 2) international training program (inl-fs) - provide international medical students and residents with u. S. Training experiences at the university of hawaii john a. Burns school of medicine. 3) office of medical education (ome-me) - provide simulated patients for clinical skills training and examinations for school of medicine students and residents.   research support - ucera has a queen's medical center contract to conduct cardiovascular research and education consulting for about 6 hours per week. There was no other research activity during the year. Ucera is in position to accommodate research activities that require hipaa compliant handling of protected health information (phi).	
International Archaeological Research Institute Inc	http://		EIN 73-1188384	2081 Young Street	Honolulu	HI	96826	USA								
Hilo House Inc	http://		EIN 99-0316392	1221 Kapiolani Blvd Ste 345	Honolulu	HI	96814	USA		Own and operate and affordable rental housing project for adults with serious mental illnesses.					Own and operate an affordable housing project for adults with serious mental illnesses. Served 8 clients.	
Makiki Japanese Language School	http://		EIN 99-0082812	1010 S King St Ste 101	Honolulu	HI	96814	USA	Arts & Culture, Humanities							
Maui Memorial Hospital Auxilliary	http://		EIN 99-6015743	221 Mahalani St	Wailuku	HI	96793	USA								
MALAMA NA HONU	http://www.malamanahonu.org	(808) 224-7639	EIN 61-1546974	PO Box 1078	Haleiwa	HI	96712	USA	Animals, Wildlife Preservation & Protection	Protecting the hawaiian green sea turtle					Protecting the hawaiian green sea turtle through education, public awareness and conservation, all in the spirit of aloha. Roughly over 600,000 individuals had the opportunity to be educated.	
Pacific Fleet Submarine Memorial Association Inc	http://www.bowfin.org	(808) 423-1341	EIN 99-0185999	11 Arizona Memorial Dr	Honolulu	HI	96818	USA	Arts & Culture, Museums	To establish and maintain a world war ii submarine, museum, and memorial.					To establish and maintain a world war ii submarine, museum, and memorial.	
