name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
Ochsner Clinic Foundation	http://www.ochsner.org	(504) 842-3400	EIN 72-0502505	1514 Jefferson Hwy	New Orleans	LA	70121	USA	General Hospitals, Health	We serve, heal, lead, educate and innovate. Ochsner will be a global medical and academic leader who will save and change lives. We will shape the future of healthcare through our integrated health system, fueled by the passion and strength of our diversified team of physicians and employees.		Patient care/patient medical services: ochsner clinic foundation consists of four hospitals at six campuses and many clinical locations. Served 143,931 inpatients resulting in 701,290 patient days. Emergency room visits totaled 256,052. The number of births totaled 5,269. Outpatient hospital visits totaled 584,200. Physician clinic visits total 1,107,016. 469 patients received organ transplants.   since 1944, academics have been an integral component of the mission, visions and strategy of the ochsner organization. Ochsner's focus as an academic center adds emphasis, intellectual capital and commitment to our mission to educate and innovate, through providing the highest quality care and service to the ochsner community and patients. The academic areas are operating divisions of ochsner clinic foundation. Education. Operating one of the nation's largest independent academic medical centers, ocf trains over 275 residents and fellows annually in 23 independent ocf-sponsored accredited residency training programs. In addition, ochsner is a joint sponsor of three programs with louisiana state university health science center ("lsuhsc"), including ophthalmology, psychiatry and urology, and is a joint sponsor of a pediatric program with tulane university school of medicine ("tulane"). The joint programs include approximately 125 residents. In addition, another 300 residents and fellows rotate to ocf in various disciplines of medicine and surgery under affiliation agreements with lsuhsc and tulane as well as other schools from across the country and around the world. Ochsner also supports lsu residency training programs at the ochsner medical center - kenner. The site hosts approximately 40 residents annually with the primary programs being family practice and internal medicine with 26 residents, and medicine and surgical specialties training programs with approximately 14 residents. In the fall of 2008, ochsner entered into a partnership with the university of queensland school of medicine in brisbane, australia to develop the university of queensland, ochsner clinical school. Beginning in 2017, this program will create an additional 120 medical school graduates each year. The program is for united states citizens or permanent residents who are interested in pursuing a career in medicine with the opportunity to study in a global program. The students complete their first and second years of training at the university of queensland in brisbane followed by completion of years three and four (clinical training years) at ochsner. The students graduate with a bachelor of medicine, bachelor of surgery (mbbs degree) which is considered a doctor of medicine (md) equivalent degree. In 2015, the university of queensland school of medicine approved the doctor of medicine degree to replace the mbbs degree. As a result, the university of queensland school of medicine and ochsner clinical school were visited in 2014 by the australian medical council as a component of the medical school's accreditation. The outcome of this site visit was full accreditation for six year, the maximum term allowed. The graduating class of 2018 will be the first class to graduate with the md degree. As of january 2015, there were 339 students enrolled in the university of queensland, ochsner clinical school program. The program has continued its projected growth since 2009 and in 2014 realized the goal of enrolling 120 students per year. In addition to the university of queensland, ochsner clinical school program, ochsner continues to provide over 700 student months of clinical education to medical students from tulane university school of medicine and louisiana state university school of medicine and a host of other medical school programs from across the region, country and around the world. Continuing medical education. Ocf's continuing medical education ("cme") program is accredited by the accreditation council for continuing medical education and provides educational activities designed to assist practicing physicians maintain, develop, and/or increase their clinical competency and professional performance required to deliver high-quality and safe patient care. In 2014, ochsner's cme program provided over 40,500 cme credits to approximately 10,500 physicians. Approvals and accreditations. Ocf's academic division education programs are accredited by or registered with the following agencies:* accreditation council for graduate medical education (acgme)* accreditation council for continuing medical education (accme)* american association of medical colleges (aamc)* association of hospital medical education (ahme)* australian medical council (amc)* council on teaching hospitals (coth)* joint review committee for education in radiologic technology (jrcert)allied health / nursing affiliations. Ocf has formal associations with over 100 institutions of higher learning. Ocf, through allied health and nursing education affiliations, enables students enrolled in colleges and universities throughout the united states to conclude formal degree requirements that require clinical training and competency. Through an affiliation agreement with our lady of holy cross college, students in radiologic technology train at ochsner medical center and complete an associate or bachelor's degree in health science. Ochsner currently has affiliations with 30 nursing programs across louisiana as well as an additional 70-75 allied health programs. Through these affiliations, ochsner provides clinical training and mentoring to over 1000 nursing students and 650 allied health students each year. Medical library. The medical library is a full service library staffed by two librarians and one archivist. The medical library collection consist of over 1,700 e-journals, 250 e-books and 25 clinical knowledge databases and 2,300 reference texts, circulating books, and historical books. The medical library also provide support for the development and dissemination of patient education materials and provides assistance to patients and their families as they seek information regarding maintaining their health and/or on innovative therapies available. Publishing services. Publishing services provides medical editing, medical illustration, and review of any written document. In addition, they manage and publish the ochsner journal, a quarterly publication designed to support the ochsner clinic foundation's mission to serve, heal, lead, educate, and innovate. Since its inception in 1999, the journal has provided a wide range of peer-reviewed, timely, and practical information for practicing physicians, healthcare professionals, and physicians in training. The editorial mix includes original research, case reports, literature reviews, editorials, and other articles that span the spectrum of medical practice and scientific research. The entire archive of the ochsner journal is deposited with pubmed central; all articles are fully searchable and available in full-text form through pubmed and pubmed central searches.   medical research: currently, ochsner clinic foundation operates five basic science research laboratories with over 400 active clinical trials in 27 clinical areas. Approximately 3,000 patients participate in ochsner clinical research annually. Every, clinical trial is overseen by the ochsner institutional review board, which provides oversight of the safety of the human subjects participating in clinical trials. Ochsner established the center for applied health services research (cashr) in 2014, the mission of which is to advance knowledge, improve clinical practice, and improve the health and well-being of the community. Cashr services include an information analytics unit that helps researchers extract data from ochsner's system data repositories, a biostatistic unit that helps researchers with project development and data analysis, and a patient research advisory board which facilitates patient engagement in both industry-sponsored and investigator-initiated studies. The clinical trial unit, located at ochsner baptist medical center, was established in 2012 to provide the ability to carry out phase i clinical trials, complex trials requiring close monitoring, high-volume trials, etc. Since inception, over 300 patients have participated in research studies at the ctu. The biobank unit, located at ochsner medical center, was established in 2011 to develop a robust inventory of human biospecimens and biofluids for utilization in complex research projects. Since inception, over 850 patients have donated their biospecimens and biofluids. This has resulted in development of a comprehensive expressbank with an inventory of over 17,000 aliquots of biospecimens and biofluids.				
Birth Rite Education Center	http://		EIN 72-1338587	174 Highway 22 E	Madisonville	LA	70447	USA	Education, Graduate & Professional Schools							
Happy Trails Therapeutic Horsemanship Center, Inc.	http://hometown.aol.com/happytrails17050/myhomepage/index.html		EIN 72-1188356	820 11th Ave 17050  Hwy  16	Franklinton	LA	70438	USA	Animal-Related, Animals, Children & Youth, Health, Rehabilitative Care, Youth Community Service Clubs	Happy Trails, founded in 1990, is offering a unique approach to helping children and adults with physical, mental and emotional disabilities. We are devoted to enhancing lives. Research shows that therapeutic riding can help individuals with impaired mobility by the gentle, rhythmical movement of the horse, which simulates the human walk.     Individuals with learning disorders or mental disabilities, are motivated by riding to increase concentration, patience and discipline.    All riders' benefit from increased self esteem, confidence and a better quality of life.						
Kevin Simmons Love Donation	http://	3.18-413.-2708	EIN 	123. Bradford Lane	Winnfield	LA	71483	USA		My Son Kevin has been in ICU of Oshsners Hospital La. for 8 weeks, he has lost both legs, can't breath on his own, kidneys stopped functioning, Staff infection, Incubated, have to wear gloves mask, gown. His wound where left leg wwas removed is infected, and both legs were cut off above his knees. He has a Wife and 2 children, they were living in New Orleans and lost everything in Hurricane and have just got everything again, and we are now scared he could lose it all again because there is no money coming in, Please pray for my Son, to be healed if you are able to donate any amount God Bless you Sammye Simmons Kevin's Mom						
Fast Food Farm Inc	http://		EIN 72-1501380	Po Box 1508	Gramercy	LA	70052	USA	Children & Youth, Education, Farm Bureaus & Granges, Food, Food, Agriculture & Nutrition, Youth Development - Agricultural	Fast Food Farm addresses the issue of educating young people on the importance of agriculture by involving them in the food growing process from start to finish.  Penn State conducted a survey which indicated that involving youth directly in the food system process will be the most effective educational tool in understanding the interconnections among food, agriculture and natural resources.  FFF, Inc. seeks to address this issue by providing the opportunity for young people to understand the workings of the food system as it relates to environmental science, social studies, agriculture, health and nutrition.  Through FFF, Inc. this learning process will take place within and beyond the classroom.						
Family Resources For Education & Empowerment Inc	http://		EIN 14-1855821	8412 Kingston Rd	Shreveport	LA	71108	USA	Education, Educational Services							
Grace Community Outreach Ministries Inc	http://		EIN 90-0394472	1134 College St	Shreveport	LA	71104	USA	Human Service Organizations							
Founders Chapter Louisiana Colonials Inc	http://		EIN 72-0993816	105 Sena Dr	Metairie	LA	70005	USA								
Lake Charles Community Band Inc	http://		EIN 72-1139592	809 Kirby St Ste 104	Lake Charles	LA	70601	USA								
Foundations For Life	http://		EIN 26-0781814	Po Box 7803	Monroe	LA	71211	USA	Gift Distribution							
LUTHERAN TOWERS INC	http://www.LSSS.org	800-938-5777	EIN 58-1734792		New Orleans	LA	70127	USA	Protestant, Religion							
World Affairs Council Of New Orleans	http://		EIN 72-6009959	Po Box 850501	New Orleans	LA	70185	USA								
LIONMAN FOUNDATION	http://		EIN 30-0175831	9517 Chef Menteur Hwy	New Orleans	LA	70127	USA	Education							
Living By Faith Ministries Of Jonesboro La, Inc.	http://		EIN 72-0958416	510 Hwy 810	Jonesboro	LA	71251	USA								
Friends Of The Chennault Aviation & Military Museum Of Louisiana Inc	http://	(318) 362-5540	EIN 72-1306895	701 Kansas Ln	Monroe	LA	71203	USA	Arts & Culture, Historical Organizations	House artifacts and memorabilia related to aviation and military history of louisiana from world war i to today and to provide educational experiences for adults and children in northeast louisiana and beyond.		To house artifacts and memorabilia related to aviation and military history of louisiana from world war i to today and to provide educational experiences for adults and children in northeast louisiana and beyond.				
Mamou Health Resources Inc	http://	(337) 468-5959	EIN 72-0949444	300 South St	Mamou	LA	70554	USA	Ambulatory & Primary Health Care, Health	Free outpatient non-emergency healthcare clinic for low-income uninsured in evangeline parish, la; free prescription medication assistance for uninsured; free health screens; management and sponsorship of hud housing for the low income elderly and disabled.		Provision of free health screens and operation of free medication assistance program to indigent members of the community.   operation of a community free health clinic				
National Federation Of The Blind Of Louisiana Inc	http://		EIN 72-1239960	101 S Trenton St	Ruston	LA	71270	USA	Centers to Support the Independence of Specific Populations, Civil Rights, Eye Diseases, Blindness & Vision Impairments, Health, Human Services	The NFB believes blindness is merely an inconvenience and, with proper skills and training, a blind individual can obtain success in his or her personal and professional life. The NFB offers many role models for blind children and newly blinded adults. The NFBC makes is possible for blind individuals to reach their full potential by providing information, scholarships, seminars, support networks and by keeping legislators informed of issues pertaining to blindness.						
St Margarets Daughters Home Guild	http://		EIN 72-0905856	6220 Chartres St	New Orleans	LA	70117	USA								
