name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
Boys & Girls Club Of East Providence Inc	http://www.epbgc.org	(401) 434-6776	EIN 05-0278988	115 Williams Ave	E Providence	RI	02914	USA	Boys & Girls Clubs, Children & Youth			Swim program - recreational and instructional swimming program serving approximately 1,000 people annually.   daycare program - affordable before and after school childcare program which serves about 14o children ages 5-13 daily. We are licensed for 188 children. This childcare program provides transportation to and from school, a healthy daily snack, homework help, and leadership development for its participants.   basic services - the club is open each day after school until 6:00 pm to provide drop-in services for area youth as well as affordable childcare. Members get a healthy snack, homework help, and then are offered a variety of programs in our games room and gym to choose from. Although the club spends more than $585 per program participant per year, the fee for the safe haven program is only $20 a year for those who can afford it, a fee that is waived for those who can not.	To inspire, enable, educate, and reach out to all young people in east providence, especially those who need us the most, to realize their full potential as productive, responsible, and caring citizens.		
Uss Saratoga Museum Foundation Inc	http://www.saratogamuseum.org	(401) 831-8696	EIN 59-3258175	37 Cathedral Ave	Providence	RI	02908	USA	Arts & Culture, Children & Youth, Historical Organizations, Museums, Single Organization Support, Youth Development			Continued work on the project of creating a major not for profit museum/ memorial education center, and family attraction at quonset point, ri	To design and operate an air, land,		
Ruth A Leatherman Trust	http://	(888) 866-3275	EIN 36-6703392	Po Box 1802	Providence	RI	02901	USA							
Rhode Island Organizing Project	http://	(401) 351-5577	EIN 05-0482387	134 Mathewson St	Providence	RI	02903	USA	Community & Neighborhood Development, Economic Development			Riop networks churches and community nonprofit organizations and provides resources for training, development and organizing in low income communities.	Organizing in low income communities		
Little League Baseball, Inc.	http://www.littleleague.org/		EIN 22-2777027	7 Lori Dr	North Providence	RI	02911	USA	Amateur Sports Competitions, Baseball & Softball, Recreation & Sports, Sports				To provide healthy activity for children using the ball field as a classroom to instill discipline, team work, sportsmanship and fair play, and to establish a set of values to guide them into adulthood.		
Louttit Library	http://	(401) 397-3434	EIN 05-6016282	274 Victory Hwy	W Greenwich	RI	02817	USA				Collection and maintenance of books and other reading materials for the use and education of individuals in the local community	Public library		
Civil Air Patrol	http://www.capnhq.gov/		EIN 51-0201876	21 Wheeler St	Warwick	RI	02886	USA	Disaster Aid, Disaster Preparedness & Relief Services, Human Service Organizations, Human Services			For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.		
Edesia	https://www.edesianutrition.org	401-272-5521	EIN 26-0359866	550 Romano Vineyard Way	North Kingstown	RI	02852	USA	Food, Food Programs	deliver practical, well-researched solutions to help end the global malnutrition crisis.	North Kingstown, Rhode Island	Produce and export high-quality ready-to-use foods for humanitarian organizations and non-profits. Raise the profile of childhood malnutrition as a global crisis worthy of the world's immediate attention.	Edesia's mission is to help treat and prevent malnutrition in the world's most vulnerable populations.	Since 2009 Edesia has impacted the lives of over 4 million malnourished children in over 48 countries.	1 million malnourished children
Enki Education Incorporated	http://		EIN 02-0492240	112 Wentworth Ave	Cranston	RI	02905	USA	Education						
Gaits of Harmony Therapeutic Riding	http://gaitsofharmony.webs.com/	401-525-8912	EIN 46-4780609	2150 Tower Hill Road	Saunderstown	RI	02874	USA	Animal-Related, Animals, Developmentally Disabled Centers, Disabilities, Equestrian, Health, Health Care, Sports	Gaits of Harmony provides all people	Saunderstown Rhode Island	opportunities to educate, enrich and empower themselves in order to cope with the challenges of their daily lives through interaction with horses.	Gaits of Harmony provides all people with opportunities to educate, enrich and empower themselves in order to cope with the challenges of their daily lives through interaction with horses.	Believing that interaction with horses has a therapeutic value for all people; Gaits of Harmony will serve thirty clients and involve members of the community to help serve its mission. Gaits of Harmony is a member center of the Professional Association of Therapeutic Horsemanship International (PATH Intl) and will operate its program under PATH Intl standards and guidelines.	
Company Of The Redwood Library And Athenaem	http://www.redwoodlibrary.org	(401) 847-0292	EIN 05-0260678	50 Bellevue Ave	Newport	RI	02840	USA				Education outreach: the athenaeum emphasizes programs and collections important to the study of newport and its history, as well as 18th century america and its sources. It sponsors entertaining and informative adult and children's programs, displays educational and cultural exhibits drawn primarily from the redwood's collections, publishes educational catalogs, newsletters, and finding aids, and provides special tours focusing on rhode island's colonial commitment to freedom of religion and liberty of conscience to school children each year.   circulation library: open to the public 7 days a week. Patrons, researchers, scholars and visitors can enjoy the more than 200,000 volumes, more than 200 current periodicals, hundreds of cd's,books-on-tape, and e-books available to be checked out by members on-site and through interlibrary loan.   research library: personal attention is provided to researchers and scholars to assist them with independent research. It showcases a permanent exhibition of 18th and 19th century art, including portraits by john smibert, gilbert stuart, robert feke, rembrandt peale, and charles bird king; townsend and goddard furniture; colonial silver, ceramics, paper-based art, and more; and a national historic landmark building, the first public classical building in the colonies.   other educational and library related programs	The company of the redwood library and athenaeum is an i. R. C. Section 501 (c) (3) educational and cultural non-profit organization that remains true to and still serves its original mission of making knowledge and useful learning as lasting and widespread as possible.		
